contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 91440.4, 91352.0, 91280.5, 91454.0, 91442.5, 91308.25, 91227.0, 91492.75, 91120.0, 90876.0, 90678.0, 91197.25, 91250.75, 90980.5, 91557.75
600-1200, 93458.8, 92607.25, 94134.5, 93168.6, 93528.75, 93866.75, 92299.25, 92715.0, 93402.0, 92897.25, 93018.75, 93217.0, 93011.25, 93728.0, 94286.5
1200-1800, 101002.8, 103566.75, 105798.25, 105306.4, 108384.75, 108956.0, 102007.5, 104023.25, 103209.0, 124049.0, 99132.25, 105188.5, 109291.0, 99520.0, 97612.5
1800-2400, 117415.6, 123606.75, 115223.5, 121742.0, 114272.5, 115910.5, 118127.25, 126686.5, 114027.0, 123817.25, 115697.5, 114431.25, 117685.25, 110525.0, 107075.75
2400-3000, 135774.2, 138399.0, 137143.25, 140120.0, 146437.0, 133088.75, 151916.25, 125481.25, 135458.75, 147953.25, 131745.5, 127476.75, 156554.25, 129005.0, 132276.0
3000-3600, 172361.0, 150911.25, 156878.0, 163507.8, 174800.75, 160599.5, 155679.25, 159986.5, 147558.5, 148221.5, 159184.0, 162227.25, 151969.75, 164336.25, 145994.25
3600-4200, 193722.0, 195973.75, 218592.5, 200882.0, 219898.25, 184308.25, 207224.5, 195510.0, 202592.0, 162204.75, 180349.75, 166309.0, 178820.25, 186922.75, 207952.75
4200-4800, 232789.4, 256390.5, 216833.5, 230536.6, 221310.25, 210106.75, 216418.75, 238223.5, 223807.5, 207265.5, 253905.75, 223410.0, 221589.75, 238836.75, 218616.75
4800-5400, 276974.2, 290073.75, 291492.0, 262254.4, 264314.0, 323366.5, 271523.25, 240530.0, 246681.75, 246022.5, 308035.75, 282120.75, 237765.25, 225323.0, 218950.75
5400-6000, 348003.2, 299665.75, 384412.25, 323258.2, 312858.5, 323527.75, 303019.75, 340437.25, 275575.5, 329608.25, 283021.75, 293581.25, 317120.5, 280058.5, 255897.75
6000-6600, 442318.8, 402988.75, 429924.25, 379832.8, 380717.75, 372769.75, 403207.25, 345128.5, 324669.5, 342191.75, 341538.75, 352621.25, 353708.25, 309555.75, 377286.25
6600-7200, 493058.2, 603793.75, 530121.5, 392397.4, 412525.25, 478974.5, 457600.75, 485143.5, 381835.25, 460502.0, 367042.75, 379024.5, 381074.5, 526632.5, 377814.25
7200-7800, 528304.4, 538901.75, 569859.75, 531471.8, 502423.5, 564688.5, 608625.0, 582138.25, 588691.0, 531394.25, 464681.75, 521946.25, 389218.5, 451120.25, 391151.5
7800-8400, 650913.0, 635112.0, 590753.0, 617121.6, 530290.25, 659095.25, 570145.75, 545923.0, 536597.75, 706508.5, 553045.25, 535807.5, 630830.75, 497723.0, 710434.75
