Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90165, 90940, 3, 172, 171, 170, 1, 0, 0.12383058343255655
600-1200, 91602, 91947, 2, 145, 144, 143, 2, 0, 0.1767348976535197
1200-1800, 97697, 101336, 11, 98, 95, 94, 2, 0, 0.22460776218001652
1800-2400, 102665, 114944, 8, 95, 88, 82, 11, 0, 0.691351888667992
2400-3000, 108750, 129479, 17, 93, 86, 77, 12, 0, 1.1614942528735632
3000-3600, 117265, 152869, 19, 88, 75, 67, 17, 0, 1.7080339647289353
3600-4200, 116483, 172231, 20, 93, 77, 63, 27, 0, 3.3346328784925277
4200-4800, 137456, 307598, 15, 149, 131, 70, 76, 0, 18.103832442067738
4800-5400, 148289, 193349, 21, 86, 71, 65, 19, 0, 2.004142502071251
5400-6000, 175867, 325349, 27, 151, 122, 78, 69, 0, 12.466666666666667
6000-6600, 237070, 333166, 22, 148, 116, 105, 49, 0, 7.701509872241579
6600-7200, 240906, 338061, 24, 142, 109, 98, 39, 0, 5.219315895372233
7200-7800, 296972, 530061, 19, 210, 175, 119, 87, 0, 17.531084337349398
7800-8400, 322877, 453240, 23, 173, 132, 121, 47, 0, 6.779889638258737
